Header,GPSWeek,GPSTime,Heading,Pitch,Roll,gyrox,gyroy,gyroz,accx,accy,accz,Lattitude,Longitude,Altitude,Ve,Vn,Vu,V,NSV1,NSV2,Status,Age,Warming*Cs,
$GPCHC,2125,120042.6,175.35,1.81,15.4,-4.61,-6.83,0.4,-0.4327,0.0516,1.5707,32.02822644,118.8562236,28.54,-0.042,0.894,0.084,0.895,22,18,41,1,2*6C,
$GPCHC,2125,120042.8,174.87,2.64,14.89,-4.45,-6.16,-2.79,-0.3446,0.0619,1.296,32.02822807,118.8562235,28.54,-0.106,0.909,-0.062,0.915,22,18,41,1,2*68,
$GPCHC,2125,120043.2,175.38,1.36,14.2,-0.75,2.04,-0.68,-0.3392,0.0329,1.3404,32.02823124,118.8562233,28.53,-0.088,0.888,-0.096,0.893,22,18,41,1,2*42,
$GPCHC,2125,120043.6,175.22,-0.27,7.05,3.55,10.82,0.68,-0.1548,-0.0059,1.2525,32.02823444,118.8562231,28.53,-0.028,0.886,-0.041,0.886,22,19,41,1,2*47,
$GPCHC,2125,120043.8,175.12,-0.03,7.07,-1.29,5.06,-0.98,-0.1639,-0.0007,1.3207,32.02823604,118.8562229,28.52,-0.059,0.918,-0.04,0.92,22,19,41,2,2*7F,
$GPCHC,2125,120044.6,175.51,2.63,14.93,-1.29,5.69,1.41,-0.3959,0.0705,1.485,32.02824243,118.8562224,28.5,-0.067,0.867,-0.029,0.87,22,20,41,1,2*63,
$GPCHC,2125,120044.8,175.65,0.43,-2.86,1.3,25.93,-1.94,0.0748,0.0114,1.4959,32.02824409,118.8562223,28.51,-0.072,0.916,0.048,0.919,22,20,41,1,2*42,
$GPCHC,2125,120045,175.21,1.61,10.54,3.49,17.36,1.25,-0.307,0.047,1.6495,32.02824566,118.8562221,28.51,-0.021,0.876,-0.053,0.877,22,20,41,1,2*71,
$GPCHC,2125,120045.2,175.03,1.4,3.98,2.28,15.05,-1.42,-0.0931,0.0328,1.3391,32.02824726,118.856222,28.51,-0.056,0.884,-0.127,0.885,21,19,41,1,2*63,
$GPCHC,2125,120045.4,175.71,2.34,8.03,4.88,15.77,-0.16,-0.239,0.0699,1.6934,32.02824889,118.8562219,28.5,-0.038,0.924,-0.051,0.925,22,19,41,1,2*64,
